name,address,lat,lng,category,,
그랑프리엔,서울특별시 남부순환로 2912 (개방화장실),37.493494 ,127.059773 ,1,,
선경상가,서울특별시 삼성로 151 (개방화장실),37.493167 ,127.059165 ,1,,
윈플러스상가,서울특별시 남부순환로 2936 (개방화장실),37.492938 ,127.058878 ,1,,
대치풍림빌딩,서울특별시 남부순환로 2942 (개방화장실),37.492752 ,127.058529 ,1,,
대치퍼스트빌딩,서울특별시 삼성로155 (개방화장실),37.493052 ,127.058298 ,1,,
카이로스빌딩,서울특별시 삼성로51길11 (개방화장실),37.493529 ,127.056560 ,1,,
대치클래시아,서울특별시 남부순환로 2927 (개방화장실),37.492182 ,127.057411 ,1,,
남서울종합시장,서울특별시 남부순환로2921 (개방화장실),37.492429 ,127.057956 ,1,,
청실종합상가,서울특별시 남부순환로 2917 (개방화장실),37.496636 ,127.058848 ,1,,
우일상가,서울특별시 남부순환로 2915 (개방화장실),37.498112 ,127.060009 ,1,,
동하빌딩,서울특별시 남부순환로 2913 (개방화장실),37.496623 ,127.055233 ,1,,
㈜동하개발 메디컬센터,서울특별시 남부순환로 397길 57 (개방화장실),37.498856 ,127.071367 ,1,,
성은교회,서울특별시 남부순환로391길 25 (개방화장실),37.499452 ,127.044670 ,1,,
여천빌딩,서울특별시 남부순환로 2909 (개방화장실),37.500802 ,127.043077 ,1,,
청우빌딩,서울특별시 남부순환로 2911 (개방화장실),37.500567 ,127.042382 ,1,,
대치삼성(아) 상가,서울특별시 도곡로78길 22 (개방화장실),37.497920 ,127.042974 ,1,,
강남메이저의원(구 미즈메디병원),서울특별시 도곡로 452 (개방화장실),37.499236 ,127.048421 ,1,,
D'mark빌딩,서울특별시 도곡로 408 (개방화장실),37.495892 ,127.046476 ,1,,
쌍용(아)종합 상가,서울특별시 영동대로 210 (개방화장실),37.495774 ,127.039631 ,1,,
역삼자이상가,서울특별시 언주로 408 (개방화장실),37.494886 ,127.045838 ,1,,
개나리 주유소,서울특별시 언주로 423 (개방화장실),37.494166 ,127.045509 ,1,,
경남상가,서울특별시 언주로85길 13 (개방화장실),37.493385 ,127.043043 ,1,,
대건빌딩 하나이비인후과,서울특별시 역삼로 245 (개방화장실),37.484829 ,127.093396 ,1,,
한솔필리아,서울특별시 역삼로 310 (개방화장실),37.485667 ,127.089904 ,1,,
강남프라자,서울특별시 언주로314 (개방화장실),37.485485 ,127.086602 ,1,,
정도빌딩,서울특별시 논현로 340 (개방화장실),37.484838 ,127.089779 ,1,,
매봉주유소,서울특별시 언주로 307 (개방화장실),37.484761 ,127.080875 ,1,,
명품주유소,서울특별시 도곡로 249 (개방화장실),37.485531 ,127.084798 ,1,,
윤화돈까스,서울특별시 도곡로221 (개방화장실),37.485202 ,127.082673 ,1,,
태화기독교사회복지관,서울특별시 광평로 185 (개방화장실),37.482629 ,127.076520 ,1,,
서울충신교회,서울특별시 광평로31길 40 (개방화장실),37.495207 ,127.085825 ,1,,
까치마을 상가,서울특별시 광평로19길 10 (개방화장실),37.495752 ,127.075096 ,1,,
수서삼성(아) 상가,서울특별시 광평로31길 27 (개방화장실),37.494185 ,127.075215 ,1,,
푸른마을 상가,서울특별시 일원로14길 25 (개방화장실),37.494341 ,127.079648 ,1,,
목련타운(아) 상가,서울특별시 광평로19길 15 (개방화장실),37.494205 ,127.077648 ,1,,
샘터상가,서울특별시 일원로 120 (개방화장실),37.498448 ,127.077572 ,1,,
한솔(아) 상가,서울특별시 광평로10길 6 (개방화장실),37.497698 ,127.075475 ,1,,
유성빌딩(대청카센터),서울특별시 개포로 140길 6 (개방화장실),37.517641 ,127.041673 ,1,,
석탑플라자,서울특별시 개포로 109길 9 (개방화장실),37.520188 ,127.055456 ,1,,
대치2단지상가,서울특별시 개포동 12 (개방화장실),37.525090 ,127.051300 ,1,,
대청타워,서울특별시 개포로 623 (개방화장실),37.522905 ,127.056494 ,1,,
대청프라자,서울특별시 개포로109길 34 (개방화장실),37.520480 ,127.057576 ,1,,
학여울주유소,서울특별시 남부순환로 3170 (개방화장실),37.522445 ,127.057620 ,1,,
남서울가스,서울특별시 남부순환로 3154 (개방화장실),37.469992 ,127.109483 ,1,,
금하빌딩,서울특별시 학동로 401 (개방화장실),37.478924 ,127.046783 ,1,,
에이치케이웨딩홀,서울특별시 학동로 519 (개방화장실),37.466574 ,127.095568 ,1,,
원앙빌딩(한국마사회강남지점),서울특별시 도산대로 529 (개방화장실),37.469209 ,127.093131 ,1,,
신한양상가,서울특별시 영동대로138길 9 (개방화장실),37.521089 ,127.053227 ,1,,
화천회관빌딩,서울특별시 영동대로 702 (개방화장실),37.492095 ,127.088196 ,1,,
삼익쇼핑,서울특별시 학동로101길 26 (개방화장실),37.491980 ,127.073174 ,1,,
세곡해오름근린공원,서울특별시 강남구 세곡동214 (공중화장실),37.496036 ,127.075803 ,1,,
포이근린공원(출발마당),서울특별시 강남구 개포동 1248 (공중화장실),37.480721 ,127.080757 ,1,,
세천근린공원,서울특별시 강남구 세곡동603 (공중화장실),37.487541 ,127.105420 ,1,,
세곡근린공원,서울특별시 강남구 세곡동 산50-15 (공중화장실),37.480194 ,127.080821 ,1,,
청담근린공원,서울특별시 강남구 청담동 66-3 (공중화장실),37.478461 ,127.073541 ,1,,
일원까치어린이공원,서울특별시 강남구 일원동 712-4 (공중화장실),37.472234 ,127.059784 ,1,,
예지어린이공원,서울특별시 강남구 개포동 12-7 (공중화장실),37.472516 ,127.066463 ,1,,
