화장실명,주소-좌표,lat,lng,주소,구분
대룡약수터,서울특별시 강남구 개포동1279,37.4820804809675,127.047681213946,서울특별시 강남구 개포동 118-21,공중화장실
구룡천약수터,서울특별시 강남구 도곡동 468,37.4842697730799,127.050238799004,서울특별시 강남구 개포동 산 53-28,공중화장실
습지원약수터,서울특별시 강남구 개포동175,37.4877508712393,127.058902040245,서울특별시 강남구 개포동 산53-42,공중화장실
옛1약수터,서울특별시 강남구 개포동648-2,37.4860027734518,127.05430940808,서울특별시 강남구 일원동 산52-13,공중화장실
용두천약수터,서울특별시 강남구 대치동805,37.4940917550084,127.071847747959,서울특별시 강남구 개포동 192,공중화장실
옥수천약수터,서울특별시 강남구 대치동3-3,37.500437219751,127.074835225945,서울특별시 강남구 개포동 산 53-32,공중화장실
불국사둘레길,서울특별시 강남구 일원동580-3,37.5003618879648,127.080862742129,서울특별시 강남구 일원동 441,공중화장실
대모산숲속야생화원,서울특별시 강남구 대치동78-28,37.5017166681716,127.071455725062,서울특별시 강남구 일원동 246-13,공중화장실
양재천(영동2교),서울특별시 강남구 수서동329-34,37.4926752479019,127.099587271611,서울특별시 강남구 개포동1279,공중화장실
양재천(밀리미교),서울특별시 강남구 율현동94,37.472539519264,127.119145808453,서울특별시 강남구 도곡동 468,공중화장실
양재천(영동3교),서울특별시 강남구 세곡동54,37.4621178276534,127.117044272959,서울특별시 강남구 개포동175,공중화장실
양재천(영동4교),서울특별시 강남구 세곡동618,37.4659486054339,127.100349972646,서울특별시 강남구 개포동648-2,공중화장실
양재천(영동6교),서울특별시 강남구 세곡동526-2,37.4622771764551,127.104596679186,서울특별시 강남구 대치동805,공중화장실
탄천양재천방문자센터,서울특별시 강남구 역삼로69길 22,37.5030425172595,127.054130053578,서울특별시 강남구 대치동3-3,공중화장실
탄천(탄천1교),서울특별시 강남구 봉은사로 332,37.5097871620279,127.043218315638,서울특별시 강남구 일원동580-3,공중화장실
탄천(탄천2교),서울특별시 강남구 도곡로27길 27,37.4945376886831,127.041831743296,서울특별시 강남구 대치동78-28,공중화장실
탄천(광평교),서울특별시 강남구 테헤란로 416,37.504996534161,127.051907408986,서울특별시 강남구 수서동329-34,공중화장실
탄천(대곡교),서울특별시 강남구 광평로 281,37.4881167693611,127.103068802127,서울특별시 강남구 율현동94,공중화장실
세곡천(세곡3교),서울특별시 강남구 언주로79길13,37.4991456999056,127.043103164713,서울특별시 강남구 세곡동54,공중화장실
세곡천(세곡1교),서울특별시 강남구 선릉로121길12,37.5145007522047,127.040980521201,서울특별시 강남구 세곡동618,공중화장실
세곡천(세곡5교),서울특별시 강남구 언주로 508,37.5039660612952,127.042909941112,서울특별시 강남구 세곡동526-2,공중화장실
대치노인복지센터,서울특별시 강남구 논현로 525,37.5032546900501,127.035379361334,서울특별시 강남구 역삼로69길 22,공중화장실
강남시니어플라자 공중화장실,서울특별시 강남구 남부순환로 3183,37.4997615039533,127.078659003344,서울특별시 강남구 봉은사로 332,공중화장실
