이름,음식이 맛있어요,인테리어가 멋져요,친절해요,가성비가 좋아요,재료가 신선해요,뷰가 좋아요,매장이 청결해요,특별한 날 가기 좋아요,혼밥하기 좋아요,특별한 메뉴가 있어요,단체모임 하기 좋아요,양이 많아요,매장이 넓어요,화장실이 깨끗해요,주차하기 편해요,대화하기 좋아요,오래 머무르기 좋아요,음악이 좋아요,술이 다양해요,차분한 분위기에요,아늑해요,고기 질이 좋아요,사진이 잘 나와요,혼술하기 좋아요,음료가 맛있어요,기본 안주가 좋아요,빵이 맛있어요,커피가 맛있어요,집중하기 좋아요,좌석이 편해요,디저트가 맛있어요,비싼 만큼 가치있어요,룸이 잘 되어있어요,반려동물과 가기 좋아요,현지 맛에 가까워요,메뉴 구성이 알차요,야외 공간이 멋져요,컨셉이 독특해요,점수
꽁티드툴레아,0.076606245802552,0.0623040295500336,0.0473760913364674,0.00223472128945601,0.0153748824714574,0.0242243787777032,0.0119781061114842,0.0275317662860981,0.00134083277367361,0.032716319677636,0.00286044325050369,0.00169838817998657,0.00688294157152451,0.00446944257891202,0.00116205507051713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318760644728005
SADDLER HAUS,0,0.178145013723696,0.204144556267155,0.0250365965233303,0,0.0144441903019213,0.133849496797804,0,0,0.330290484903934,0,0,0,0.0231107044830741,0.00481473010064044,0.0365919487648673,0,0,0,0,0,0,0.0847392497712717,0,0.0857021957913998,0,0,0.147330741079597,0.00192589204025618,0.0077035681610247,0.903243366880146,0,0,0,0,0,0,0,2.18107273559012
스케줄청담,0.0288271002710027,0.0220108401084011,0.0100823848238482,0,0.00397615176151762,0.00170406504065041,0.00582222222222222,0.0107924119241192,0.000284010840108401,0.00852032520325203,0.00397615176151762,0.000852032520325203,0.0129224932249322,0.000426016260162602,0.000568021680216802,0.00369214092140921,0,0,0,0,0,0,0.00639024390243902,0,0,0,0,0,0,0,0.00369214092140921,0.00553821138211382,0.00184607046070461,0.000710027100271003,0,0,0,0,0.132633062330623
까폼,0.307970680628272,0.0365905759162304,0.089951832460733,0.0407832460732984,0.0640335078534031,0.00190575916230366,0.0141026178010471,0.0141026178010471,0.0129591623036649,0.155128795811518,0.00419267015706806,0.0712753926701571,0.00495497382198953,0.00304921465968586,0.00266806282722513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823669109947643
까사밀,0.0638947540983607,0.0412944262295082,0.0482698360655738,0.0128347540983607,0.0172990163934426,0.010323606557377,0.0315288524590164,0.0284596721311475,0.000558032786885246,0.0131137704918033,0.0200891803278689,0.0061383606557377,0.0172990163934426,0.00892852459016393,0.0212052459016393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341237049180328
문어랑 상록점,0.0275753623188406,0.00364202898550725,0.0158688405797101,0.00546304347826087,0.0132673913043478,0.00130072463768116,0.0106659420289855,0.00260144927536232,0,0.0130072463768116,0.00988550724637681,0.00390217391304348,0.00624347826086957,0.00338188405797101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116805072463768
세바,0.00531,0.00393333333333333,0.00354,0.000393333333333333,0.00118,0,0.00177,0.000196666666666667,0.000196666666666667,0.00393333333333333,0.000983333333333333,0,0.000393333333333333,0.000786666666666667,0.00118,0.000983333333333333,0.00118,0.00059,0.00314666666666667,0,0,0,0,0.000983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03068
쏭타이 역삼점,0.115812765957447,0.050936170212766,0.049863829787234,0.0112595744680851,0.0327063829787234,0,0.0225191489361702,0.012868085106383,0.0075063829787234,0.0428936170212766,0.00160851063829787,0.0139404255319149,0.000536170212765957,0.00589787234042553,0.00214468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370493617021277
Ginos NY Pizza 압구정점,0.026076821192053,0.00852980132450331,0.0109668874172185,0.0031682119205298,0.00560529801324503,0,0.00536158940397351,0.00219337748344371,0.00146225165562914,0.00999205298013245,0.00463046357615894,0.00365562913907285,0.00779867549668874,0.00243708609271523,0.0031682119205298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095046357615894
킹박스,0.0627219895287958,0.0204973821989529,0.025211780104712,0.013938219895288,0.0155780104712042,0.0014348167539267,0.0219321989528796,0.00409947643979058,0.00553429319371728,0.0284913612565445,0.00450942408376963,0.0157829842931937,0.0200874345549738,0.00307460732984293,0.00184476439790576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244738743455497
모터시티바이매니멀강남점,0.0131190476190476,0.000452380952380952,0.00407142857142857,0.000452380952380952,0,0.000904761904761905,0.00180952380952381,0.000452380952380952,0,0.00497619047619048,0.00135714285714286,0.00180952380952381,0.00271428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321190476190476
더블트러블 유니온,0.0791648780487805,0.0334360975609756,0.0334360975609756,0.00491707317073171,0.0211434146341463,0.00245853658536585,0.0270439024390244,0.00295024390243902,0.0162263414634146,0.0290107317073171,0.00147512195121951,0.0083590243902439,0.00590048780487805,0.00540878048780488,0.000491707317073171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27142243902439
워커비,0.00532692307692308,0.0202423076923077,0.0149153846153846,0.00319615384615385,0,0,0.00852307692307692,0,0,0.00319615384615385,0.00106538461538462,0,0,0.00745769230769231,0,0.00213076923076923,0.00213076923076923,0.0266346153846154,0.0181115384615385,0,0,0,0,0.00106538461538462,0,0.00213076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0.116126923076923
레브 바,0.013601724137931,0.0144887931034483,0.0109405172413793,0.00295689655172414,0,0,0.00739224137931034,0,0,0.00709655172413793,0.0020698275862069,0,0,0.0020698275862069,0,0.00620948275862069,0.00384396551724138,0.0100534482758621,0.00887068965517241,0,0,0,0.00177413793103448,0.000887068965517241,0.000887068965517241,0.00473103448275862,0,0.00118275862068966,0,0.000591379310344828,0.000887068965517241,0,0,0,0,0,0,0,0.100534482758621
크라이치즈버거 삼성역점,0.571631351351351,0.0228843243243243,0.106793513513514,0.248867027027027,0.166388108108108,0.00810486486486486,0.0696064864864865,0.00524432432432432,0.19404,0.0605481081081081,0.00762810810810811,0.0467221621621622,0.120619459459459,0.0123956756756757,0.00810486486486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64957837837838
스페인클럽 가로수본점,0.0190055555555556,0.00518333333333333,0.00820694444444444,0.00215972222222222,0.00475138888888889,0,0.0038875,0.00604722222222222,0,0.0120944444444444,0.00215972222222222,0.00172777777777778,0.0038875,0.00215972222222222,0.000863888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00302361111111111,0.00215972222222222,0,0,0.0773180555555555
올데이피자 서비스,0.026012676056338,0.0128281690140845,0.0142535211267606,0.00641408450704225,0.0146098591549296,0.00391971830985915,0.00570140845070423,0.00213802816901408,0.00142535211267606,0.00570140845070423,0.000712676056338028,0.00605774647887324,0.00142535211267606,0.000356338028169014,0.000712676056338028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102269014084507
